nohup: ignoring input
[17:59:58] === SVD (poison-only) — NO post-fit nudge ===
[18:00:02] Original users: 53,424
[18:00:02] Training baseline SVD on ORIGINAL...
[21:51:04] Scored 21,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:06] Scored 22,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:09] Scored 23,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:11] Scored 24,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:13] Scored 25,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:16] Scored 26,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:18] Scored 27,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:20] Scored 28,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:23] Scored 29,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:25] Scored 30,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:27] Scored 31,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:30] Scored 32,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:32] Scored 33,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:34] Scored 34,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:37] Scored 35,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:39] Scored 36,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:41] Scored 37,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:43] Scored 38,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:46] Scored 39,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:48] Scored 40,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:50] Scored 41,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:53] Scored 42,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:55] Scored 43,000/53,424 users for enhanced_Historical_100_avgonly...
[21:51:57] Scored 44,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:00] Scored 45,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:02] Scored 46,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:04] Scored 47,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:07] Scored 48,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:09] Scored 49,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:11] Scored 50,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:13] Scored 51,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:16] Scored 52,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:18] Scored 53,000/53,424 users for enhanced_Historical_100_avgonly...
[21:52:22] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_100_avgonly_15recommendation.csv (801360 rows)
[21:52:26] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_100_avgonly_25recommendation.csv (1335600 rows)
[21:52:32] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_100_avgonly_35recommendation.csv (1869840 rows)
[21:52:36] [27/53] enhanced_Historical_200_avgonly — loading & training...
[21:59:17] Scored 1,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:19] Scored 2,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:21] Scored 3,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:23] Scored 4,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:25] Scored 5,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:28] Scored 6,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:30] Scored 7,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:32] Scored 8,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:34] Scored 9,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:36] Scored 10,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:39] Scored 11,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:41] Scored 12,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:43] Scored 13,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:45] Scored 14,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:48] Scored 15,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:50] Scored 16,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:52] Scored 17,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:54] Scored 18,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:57] Scored 19,000/53,424 users for enhanced_Historical_200_avgonly...
[21:59:59] Scored 20,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:01] Scored 21,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:03] Scored 22,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:06] Scored 23,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:08] Scored 24,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:10] Scored 25,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:12] Scored 26,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:15] Scored 27,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:17] Scored 28,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:19] Scored 29,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:21] Scored 30,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:23] Scored 31,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:26] Scored 32,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:28] Scored 33,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:30] Scored 34,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:32] Scored 35,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:35] Scored 36,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:37] Scored 37,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:39] Scored 38,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:41] Scored 39,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:44] Scored 40,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:46] Scored 41,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:48] Scored 42,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:50] Scored 43,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:53] Scored 44,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:55] Scored 45,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:57] Scored 46,000/53,424 users for enhanced_Historical_200_avgonly...
[22:00:59] Scored 47,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:02] Scored 48,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:04] Scored 49,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:06] Scored 50,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:08] Scored 51,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:11] Scored 52,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:13] Scored 53,000/53,424 users for enhanced_Historical_200_avgonly...
[22:01:17] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_200_avgonly_15recommendation.csv (801360 rows)
[22:01:21] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_200_avgonly_25recommendation.csv (1335600 rows)
[22:01:28] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_200_avgonly_35recommendation.csv (1869840 rows)
[22:01:31] [28/53] enhanced_Historical_25_avgonly — loading & training...
[22:08:15] Scored 1,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:17] Scored 2,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:20] Scored 3,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:22] Scored 4,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:24] Scored 5,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:27] Scored 6,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:29] Scored 7,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:31] Scored 8,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:33] Scored 9,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:36] Scored 10,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:38] Scored 11,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:40] Scored 12,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:42] Scored 13,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:45] Scored 14,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:47] Scored 15,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:49] Scored 16,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:51] Scored 17,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:54] Scored 18,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:56] Scored 19,000/53,424 users for enhanced_Historical_25_avgonly...
[22:08:58] Scored 20,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:00] Scored 21,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:03] Scored 22,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:05] Scored 23,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:07] Scored 24,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:09] Scored 25,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:12] Scored 26,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:14] Scored 27,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:16] Scored 28,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:18] Scored 29,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:21] Scored 30,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:23] Scored 31,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:25] Scored 32,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:27] Scored 33,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:30] Scored 34,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:32] Scored 35,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:34] Scored 36,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:36] Scored 37,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:39] Scored 38,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:41] Scored 39,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:43] Scored 40,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:45] Scored 41,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:47] Scored 42,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:50] Scored 43,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:52] Scored 44,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:54] Scored 45,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:56] Scored 46,000/53,424 users for enhanced_Historical_25_avgonly...
[22:09:59] Scored 47,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:01] Scored 48,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:03] Scored 49,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:05] Scored 50,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:08] Scored 51,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:10] Scored 52,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:12] Scored 53,000/53,424 users for enhanced_Historical_25_avgonly...
[22:10:16] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_25_avgonly_15recommendation.csv (801360 rows)
[22:10:21] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_25_avgonly_25recommendation.csv (1335600 rows)
[22:10:27] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_25_avgonly_35recommendation.csv (1869840 rows)
[22:10:31] [29/53] enhanced_Historical_50_avgonly — loading & training...
[22:17:19] Scored 1,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:21] Scored 2,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:23] Scored 3,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:25] Scored 4,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:27] Scored 5,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:30] Scored 6,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:32] Scored 7,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:34] Scored 8,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:36] Scored 9,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:39] Scored 10,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:41] Scored 11,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:43] Scored 12,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:45] Scored 13,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:48] Scored 14,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:50] Scored 15,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:52] Scored 16,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:54] Scored 17,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:57] Scored 18,000/53,424 users for enhanced_Historical_50_avgonly...
[22:17:59] Scored 19,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:01] Scored 20,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:03] Scored 21,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:06] Scored 22,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:08] Scored 23,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:10] Scored 24,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:12] Scored 25,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:15] Scored 26,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:17] Scored 27,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:19] Scored 28,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:21] Scored 29,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:24] Scored 30,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:26] Scored 31,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:28] Scored 32,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:31] Scored 33,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:33] Scored 34,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:35] Scored 35,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:37] Scored 36,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:40] Scored 37,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:42] Scored 38,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:44] Scored 39,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:46] Scored 40,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:49] Scored 41,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:51] Scored 42,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:53] Scored 43,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:55] Scored 44,000/53,424 users for enhanced_Historical_50_avgonly...
[22:18:57] Scored 45,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:00] Scored 46,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:02] Scored 47,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:04] Scored 48,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:06] Scored 49,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:09] Scored 50,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:11] Scored 51,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:13] Scored 52,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:15] Scored 53,000/53,424 users for enhanced_Historical_50_avgonly...
[22:19:19] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_50_avgonly_15recommendation.csv (801360 rows)
[22:19:24] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_50_avgonly_25recommendation.csv (1335600 rows)
[22:19:30] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Historical_50_avgonly_35recommendation.csv (1869840 rows)
[22:19:33] [30/53] enhanced_Horror_100_avgonly — loading & training...
[22:26:15] Scored 1,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:18] Scored 2,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:20] Scored 3,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:22] Scored 4,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:24] Scored 5,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:27] Scored 6,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:29] Scored 7,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:31] Scored 8,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:34] Scored 9,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:36] Scored 10,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:38] Scored 11,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:41] Scored 12,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:43] Scored 13,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:45] Scored 14,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:48] Scored 15,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:50] Scored 16,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:52] Scored 17,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:55] Scored 18,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:57] Scored 19,000/53,424 users for enhanced_Horror_100_avgonly...
[22:26:59] Scored 20,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:01] Scored 21,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:04] Scored 22,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:06] Scored 23,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:08] Scored 24,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:11] Scored 25,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:13] Scored 26,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:15] Scored 27,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:18] Scored 28,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:20] Scored 29,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:22] Scored 30,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:25] Scored 31,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:27] Scored 32,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:29] Scored 33,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:32] Scored 34,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:34] Scored 35,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:36] Scored 36,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:39] Scored 37,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:41] Scored 38,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:43] Scored 39,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:46] Scored 40,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:48] Scored 41,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:50] Scored 42,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:52] Scored 43,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:55] Scored 44,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:57] Scored 45,000/53,424 users for enhanced_Horror_100_avgonly...
[22:27:59] Scored 46,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:02] Scored 47,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:04] Scored 48,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:06] Scored 49,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:08] Scored 50,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:11] Scored 51,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:13] Scored 52,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:15] Scored 53,000/53,424 users for enhanced_Horror_100_avgonly...
[22:28:19] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Horror_100_avgonly_15recommendation.csv (801360 rows)
[22:28:24] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Horror_100_avgonly_25recommendation.csv (1335600 rows)
[22:28:30] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Horror_100_avgonly_35recommendation.csv (1869840 rows)
[22:28:33] [31/53] enhanced_Horror_200_avgonly — loading & training...
[22:35:13] Scored 1,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:15] Scored 2,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:17] Scored 3,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:20] Scored 4,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:22] Scored 5,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:24] Scored 6,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:26] Scored 7,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:28] Scored 8,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:31] Scored 9,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:33] Scored 10,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:35] Scored 11,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:37] Scored 12,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:40] Scored 13,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:42] Scored 14,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:44] Scored 15,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:46] Scored 16,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:49] Scored 17,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:51] Scored 18,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:53] Scored 19,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:55] Scored 20,000/53,424 users for enhanced_Horror_200_avgonly...
[22:35:58] Scored 21,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:00] Scored 22,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:02] Scored 23,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:04] Scored 24,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:07] Scored 25,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:09] Scored 26,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:11] Scored 27,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:14] Scored 28,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:16] Scored 29,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:18] Scored 30,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:21] Scored 31,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:23] Scored 32,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:25] Scored 33,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:27] Scored 34,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:30] Scored 35,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:32] Scored 36,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:34] Scored 37,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:37] Scored 38,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:39] Scored 39,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:41] Scored 40,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:43] Scored 41,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:46] Scored 42,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:48] Scored 43,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:50] Scored 44,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:52] Scored 45,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:55] Scored 46,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:57] Scored 47,000/53,424 users for enhanced_Horror_200_avgonly...
[22:36:59] Scored 48,000/53,424 users for enhanced_Horror_200_avgonly...
[22:37:02] Scored 49,000/53,424 users for enhanced_Horror_200_avgonly...
[22:37:04] Scored 50,000/53,424 users for enhanced_Horror_200_avgonly...
[22:37:06] Scored 51,000/53,424 users for enhanced_Horror_200_avgonly...
[22:37:08] Scored 52,000/53,424 users for enhanced_Horror_200_avgonly...
[22:37:11] Scored 53,000/53,424 users for enhanced_Horror_200_avgonly...
[22:37:14] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Horror_200_avgonly_15recommendation.csv (801360 rows)
[22:37:19] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Horror_200_avgonly_25recommendation.csv (1335600 rows)
[22:37:25] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Horror_200_avgonly_35recommendation.csv (1869840 rows)
[22:37:28] [32/53] enhanced_Horror_25_avgonly — loading & training...
[22:44:05] Scored 1,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:08] Scored 2,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:10] Scored 3,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:12] Scored 4,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:14] Scored 5,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:17] Scored 6,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:19] Scored 7,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:21] Scored 8,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:23] Scored 9,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:26] Scored 10,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:28] Scored 11,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:30] Scored 12,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:33] Scored 13,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:35] Scored 14,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:37] Scored 15,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:39] Scored 16,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:42] Scored 17,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:44] Scored 18,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:46] Scored 19,000/53,424 users for enhanced_Horror_25_avgonly...
[22:44:48] Scored 20,000/53,424 users for enhanced_Horror_25_avgonly...
